Nome do Curso,Módulo,Nome do Módulo,Aula,Duração,Data Início,Data Fim,Status
Cientista de Dados,2,Excel Intermediário,36. EX 23 - Formatação Condicional Pre Definida,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,37. Formatação Condicional Padrão,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,38. EX 24 - Fomatação Condicional Padrão,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,39. Formatação Condicional com Fórmulas,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,40. EX 25 - Formatação Condicional com Fórmulas,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,41. Guia de Formatação Condicional Avançada,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,42. Filtro Simples,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,43. EX 28 - Filtro Simples,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,"44. Congelar, Dividir Painéis e Agrupamento",N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,45. EX 29 - Congelar dividir paines e agrupamento,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,46. Remover Duplicatas,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,47. EX 30 - Remover duplicatas,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,48. Texto para Coluna,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,49. EX 31 - Texto para coluna,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,50. Gráfico Simples,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,51. EX 32 - Gráfico Simples,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,52. Atingir Metas,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,53. EX 34 - Atingir metas,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,54. Validação de Dados,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,55. EX 37 - Validação de Dados,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,56. Proteção da Planilha,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,57. EX 38 - Proteção da Planilha,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,58. Procuras: Índice e Corresp,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,59. EX 42 - Procuras Indice e Corresp,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,60. Procv,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,61. EX 43 - Procv,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,62. Proch,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,63. EX 44 - Proch,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,64. Plus: Procx,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,65. EX 45 - Plus Procx,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,66. Super Exercício 1,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,67. Ex 39 - Super Exercício l,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,68. Super Exercício 2,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,69. Ex 40 - Plus Super Exercício ll,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,70. Subtotal,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,71. EX 47 - Subtotal,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,72. Filtro Avançado,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,73. Ex 48 - Filtro Avançado,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,74. Super Exercício III,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,75. EX 49 - Super Exercício lll,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,76. Tabela Dinâmica I,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,77. Ex 50 - Tabela Dinâmica l,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,78. Tabela Dinâmica II,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,79. EX 51 - Tabela Dinâmica ll,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,80. Gráfico Dinâmico,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,81. EX 52 - Gráfico Dinâmico,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,82. Segmentação de Dados,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,83. EX 53 - Segmentação de Dados,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,84. Gráficos Avançados,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,85. EX 54 - Gráficos Avançados,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,86. Pesquisa de Satisfação - Excel,N/D,N/D,N/D,Concluído
Cientista de Dados,2,Excel Intermediário,87. Organize os dados de um negócio com Excel,N/D,N/D,N/D,Concluído
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,3,SQL para Análise de Dados,N/D,N/D,N/D,N/D,Pendente
