id_aula;id_modulo;id_curso;id_status;frequencia;nota_final
257;33;6;1;;
258;34;6;1;;
259;35;6;1;;
260;36;6;1;;
261;37;6;1;;
262;38;6;1;;
263;39;6;1;;
264;40;6;1;;
265;41;7;3;;
266;42;7;3;;
267;43;7;3;;
268;44;7;3;;
269;45;7;3;;
270;46;7;3;;
271;47;7;3;;
272;48;8;1;;
273;49;8;1;;
274;50;8;1;;
275;51;8;1;;
276;52;8;1;;
277;53;8;1;;
278;54;8;1;;
279;55;8;1;;
280;56;8;1;;
281;57;8;1;;
282;58;8;1;;
283;59;9;3;;
284;60;9;3;;
285;61;9;3;;
286;62;9;3;;
287;63;10;3;;
288;64;10;3;;
289;65;10;3;;
290;66;10;3;;
291;67;11;3;;
292;68;11;3;;
293;69;11;3;;
294;70;11;3;;
295;71;11;3;;
296;72;11;3;;
297;73;11;3;;
298;74;11;3;;
299;75;11;3;;
300;76;11;3;;
301;77;11;3;;
302;78;12;1;;
303;79;12;1;;
304;80;12;1;;
305;81;12;1;;
306;82;12;1;;
307;83;12;1;;
308;84;12;1;;
309;85;12;1;;
310;86;12;1;;
311;87;13;1;;
312;88;13;1;;
313;89;13;1;;
314;90;13;1;;
315;91;13;1;;
316;92;13;1;;
317;93;13;1;;
318;94;13;1;;
319;95;13;1;;
320;96;13;1;;
321;97;13;1;;
